filename,mjd,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42,order_43
MiniCombEtalon_R03_20260512123002_deg0_sp.fits,61172.526486749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05045581984634145,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R04_20260512063001_deg0_sp.fits,61172.278708982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05481783327933219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R04_20260512093002_deg0_sp.fits,61172.403708310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05201392798336432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R04_20260512123002_deg0_sp.fits,61172.528707592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04916578778434383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R05_20260512063001_deg0_sp.fits,61172.280929824,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.053166743967049165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R05_20260512093002_deg0_sp.fits,61172.405929152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05139716805148554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R05_20260512123002_deg0_sp.fits,61172.530928435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.050389363657279355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R06_20260512063001_deg0_sp.fits,61172.283150666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05517766145436018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R06_20260512093002_deg0_sp.fits,61172.408149995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.049813906786426124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R06_20260512123002_deg0_sp.fits,61172.533149276,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05112859412956018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R07_20260512063001_deg0_sp.fits,61172.285371508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.050586345078877354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R07_20260512093002_deg0_sp.fits,61172.410370838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05133844483862692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R07_20260512123002_deg0_sp.fits,61172.535370119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04890284766273828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R08_20260512063001_deg0_sp.fits,61172.287592351,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05314428005618224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R08_20260512093002_deg0_sp.fits,61172.412591679,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05020722850009142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R08_20260512123002_deg0_sp.fits,61172.537590961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05132102790008572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R09_20260512063001_deg0_sp.fits,61172.289813194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05213735208968686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R09_20260512093002_deg0_sp.fits,61172.414812521,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.051247783250393,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R09_20260512123002_deg0_sp.fits,61172.539811804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05011870914831891,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R10_20260512063001_deg0_sp.fits,61172.292034038,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.054672621187572545,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R10_20260512093002_deg0_sp.fits,61172.417033362,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05116126370774275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R10_20260512123002_deg0_sp.fits,61172.542032648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04954767267299601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R11_20260512063001_deg0_sp.fits,61172.294254882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05180005858121059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R11_20260512093002_deg0_sp.fits,61172.419254205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05297010189677302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R11_20260512123002_deg0_sp.fits,61172.544253490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0483934099716878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R12_20260512063001_deg0_sp.fits,61172.296475726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05230271869273869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R12_20260512093002_deg0_sp.fits,61172.421475047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05432416273745731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R12_20260512123002_deg0_sp.fits,61172.546474333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.049032720926474455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R13_20260512063001_deg0_sp.fits,61172.298696569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05243475023855567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R13_20260512093002_deg0_sp.fits,61172.423695890,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04968328600610239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R13_20260512123002_deg0_sp.fits,61172.548695175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05108520270222728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R14_20260512063001_deg0_sp.fits,61172.300917412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05010650667305796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R14_20260512093002_deg0_sp.fits,61172.425916733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.052877319490711276,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R14_20260512123002_deg0_sp.fits,61172.550916018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05240415875392117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MiniCombEtalon_R15_20260512063001_deg0_sp.fits,61172.303138254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05413439628452122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
