filename,mjd,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42
EtalonEtalon_R02_20260505080002_deg0_sp.fits,61165.336780337,0.02160844839951723,0.017246984937624707,-0.04309763460133045,-0.17615239478630165,-0.012909165998787518,-0.04666081699118842,nan,0.015234602610308519,-0.041131237173888203,-0.06474547460223053,0.010588683928503907,0.0075631662352081686,-0.030675218669208446,nan,0.1393619416626953,0.06937253852627448,0.11510661875453196,0.0667159233051447,0.032949947354374606,0.06730558019347355
EtalonEtalon_R02_20260505110001_deg0_sp.fits,61165.461762201,0.01788944948021566,0.015289374582675902,-0.042296622416841775,-0.17607120480546617,-0.012943343996956406,-0.05278717720963816,nan,0.0139992375184715,-0.03979301892303375,-0.06547004939937331,0.007289972661006595,0.005148236999272304,-0.026727927151630672,nan,0.1370991762771533,0.07515357298923105,0.11081902712533959,0.06777109099861599,0.032266478705507404,0.07578903228747728
EtalonEtalon_R02_20260507050001_deg0_sp.fits,61167.211763677,0.017845909291306326,0.020556496109702768,-0.04688921248882992,-0.17746395100176213,-0.012208588705492927,-0.05729518367627652,nan,0.017425849149315477,-0.04072731566829722,-0.0564542413677512,0.0078621535827878,0.0033373534514611752,-0.02819478131565819,nan,0.13771671874148228,0.0682843694371815,0.11114974435921317,0.06734966204463383,0.03476656068366442,0.07394071651869957
EtalonEtalon_R02_20260507080001_deg0_sp.fits,61167.336762607,0.020443301098790813,0.01806289225591596,-0.04752047294368477,-0.1754919743117021,-0.013574600188154796,-0.05539214484314213,nan,0.016203790361525198,-0.03797341970558528,-0.06856657471023404,0.003767815378853845,0.002380721199384775,-0.02782307041823961,nan,0.13841457282725847,0.06703764920046457,0.1102794441907148,0.06790315631886033,0.03179969318387479,0.07825122600697403
EtalonEtalon_R02_20260507110001_deg0_sp.fits,61167.461761518,0.018827488218774415,0.010375059425938138,-0.0459314970611835,-0.1800152995541004,-0.012945995360296517,-0.05576985522891078,nan,0.019046771334380392,-0.04174282226962757,-0.06563302165032008,0.007562561165981113,0.005498899685233073,-0.027998084666661052,nan,0.13973818707660435,0.06475934418891603,0.10890088522067103,0.0685269240171495,0.03056722624736345,0.07631252323392004
EtalonEtalon_R02_20260508050001_deg0_sp.fits,61168.211772740,0.01789432066438483,0.022723204137440445,-0.04878963638312071,-0.17922923438782284,-0.016039094767880013,-0.05417302448563923,nan,0.014734483012519438,-0.04523135097715197,-0.06557938099404435,0.005946156747715554,0.00822088287639492,-0.030439790727809894,nan,0.1359543286129769,0.0636225992228832,0.11566327754450073,0.07073299181591648,0.03549834756943775,0.07446766118797551
EtalonEtalon_R02_20260508080001_deg0_sp.fits,61168.336771669,0.023249051908210156,0.007616669967156042,-0.04720943379855127,-0.18215386583888105,-0.011263049941272883,-0.05472872398209559,nan,0.01664064698903674,-0.04152486442146923,-0.06542670489592084,0.010163079158220949,0.0014754787221982132,-0.026286916529152087,nan,0.13943085646847914,0.05892655958890046,0.11183311086138725,0.06800323871546766,0.03419565005995328,0.06933653119629216
EtalonEtalon_R02_20260508110001_deg0_sp.fits,61168.461753501,0.021182235626091686,0.011785889370266353,-0.03994760355740602,-0.1799791476022699,-0.016861658365857318,-0.056895986726654996,nan,0.021340194241000515,-0.04070233177692707,-0.0633286844578039,0.005695774043163054,0.010684292509130507,-0.028386483120613225,nan,0.13495423019849673,0.06526499733118493,0.11407069677943851,0.07234642728695403,0.03542275650275952,0.07578909588106739
EtalonEtalon_R02_20260509050001_deg0_sp.fits,61169.211763943,0.018029904300124168,0.013388252464546654,-0.04092323081721543,-0.17741621742655964,-0.014685345541154728,-0.053006853853044184,nan,0.018138605302930207,-0.039943996737110354,-0.0659268636873223,0.007331504239624559,0.00681066475122296,-0.02851498087078129,nan,0.13535631580310126,0.0664835127666487,0.11463378436689226,0.07326733371343432,0.03625606026618792,0.08595386107065464
EtalonEtalon_R02_20260509080001_deg0_sp.fits,61169.336762867,0.02093790426457643,0.0138766903004902,-0.04072187975643121,-0.17880827418902595,-0.014465909608292825,-0.05461339155590679,nan,0.013291718684471748,-0.0434363832849443,-0.06325169161074688,0.007915129060872925,0.00907637053629999,-0.029297987553625775,nan,0.1324714011875368,0.06846118143913062,0.11573176079193045,0.07123879107198544,0.03371895569445837,0.07384776464270977
