filename,mjd,rv_sci_mean_kms,rv_cal_mean_kms
EtalonEtalon_R14_20260412050002_deg0_sp.fits,61142.238432093,0.027897892233827243,0.03443176727204566
EtalonEtalon_R14_20260412080001_deg0_sp.fits,61142.363413766,0.020492613752106384,0.027694425221462142
EtalonEtalon_R14_20260412110001_deg0_sp.fits,61142.488412609,0.01748910679630722,0.024228729615287468
EtalonEtalon_R15_20260412050002_deg0_sp.fits,61142.240652926,0.027258176221274993,0.032132662238900385
EtalonEtalon_R15_20260412080001_deg0_sp.fits,61142.365634603,0.021115124720441587,0.028504650112899984
EtalonEtalon_R15_20260412110001_deg0_sp.fits,61142.490633446,0.017305710237973178,0.02427668089200339
EtalonEtalon_R16_20260412050002_deg0_sp.fits,61142.242873759,0.025807416366343972,0.033033587059572815
EtalonEtalon_R16_20260412080001_deg0_sp.fits,61142.367855441,0.022075616700153927,0.028648003292854992
EtalonEtalon_R16_20260412110001_deg0_sp.fits,61142.492854281,0.018046328574748055,0.02309597658386567
EtalonEtalon_R17_20260412050002_deg0_sp.fits,61142.245094593,0.02672050892408943,0.03349235538075485
EtalonEtalon_R17_20260412080001_deg0_sp.fits,61142.370076278,0.020382391143853283,0.027966251822221726
EtalonEtalon_R17_20260412110001_deg0_sp.fits,61142.495075116,0.017284533166357887,0.02293531662524718
EtalonEtalon_R18_20260412050002_deg0_sp.fits,61142.247315428,0.026863278939077754,0.034123664630817285
EtalonEtalon_R18_20260412080001_deg0_sp.fits,61142.372297116,0.021468954528678825,0.0281859065658077
EtalonEtalon_R18_20260412110001_deg0_sp.fits,61142.497295953,0.018408732957441058,0.023669406265151523
EtalonEtalon_R19_20260412050002_deg0_sp.fits,61142.249536262,0.02539333536433249,0.03369998526623903
EtalonEtalon_R19_20260412080001_deg0_sp.fits,61142.374517955,0.022385055141840714,0.029133240504323067
EtalonEtalon_R19_20260412110001_deg0_sp.fits,61142.499516789,0.018010035919749236,0.024344767660468693
EtalonEtalon_R20_20260412050002_deg0_sp.fits,61142.251757095,0.026616795991842895,0.03385038537923029
EtalonEtalon_R20_20260412080001_deg0_sp.fits,61142.376738795,0.021728871903695927,0.02877355847074679
EtalonEtalon_R20_20260412110001_deg0_sp.fits,61142.501737625,0.01847623769422524,0.023902593440748382
EtalonEtalon_R01_20260409050001_deg0_sp.fits,61139.209536070,0.04285693225810731,0.04755055949520296
EtalonEtalon_R01_20260409080002_deg0_sp.fits,61139.334552009,0.04261908800757935,0.049021377678789085
