Time,"output {channel=""blue_etalon"", units=""Amps""}",seconds,days,jd,amps,sams x axis,amps,fixed refderences JD offset
1.76E+12,0.311,1763267250,20408.18576,2460995.336,0.311,-4.664486111,0.311,
1.76E+12,0.309,1763267280,20408.18611,2460995.336,0.309,-4.664138889,0.309,
1.76E+12,0.311,1763267310,20408.18646,2460995.336,0.311,-4.663791667,0.311,
1.76E+12,0.31,1763267340,20408.18681,2460995.337,0.31,-4.663444445,0.31,
1.76E+12,0.31,1763267370,20408.18715,2460995.337,0.31,-4.663097222,0.31,
1.76E+12,0.31,1763267400,20408.1875,2460995.337,0.31,-4.66275,0.31,
1.76E+12,0.311,1763267430,20408.18785,2460995.338,0.311,-4.662402778,0.311,
1.76E+12,0.311,1763267460,20408.18819,2460995.338,0.311,-4.662055556,0.311,
1.76E+12,0.31,1763267490,20408.18854,2460995.338,0.31,-4.661708334,0.31,
1.76E+12,0.311,1763267520,20408.18889,2460995.339,0.311,-4.661361111,0.311,
1.76E+12,0.311,1763267550,20408.18924,2460995.339,0.311,-4.661013889,0.311,
1.76E+12,0.311,1763267580,20408.18958,2460995.339,0.311,-4.660666667,0.311,
1.76E+12,0.311,1763267610,20408.18993,2460995.34,0.311,-4.660319445,0.311,
1.76E+12,0.311,1763267640,20408.19028,2460995.34,0.311,-4.659972223,0.311,
1.76E+12,0.312,1763267670,20408.19063,2460995.34,0.312,-4.659625,0.312,
1.76E+12,0.31,1763267700,20408.19097,2460995.341,0.31,-4.659277778,0.31,
1.76E+12,0.311,1763267730,20408.19132,2460995.341,0.311,-4.658930556,0.311,
1.76E+12,0.309,1763267760,20408.19167,2460995.341,0.309,-4.658583333,0.309,
1.76E+12,0.31,1763267790,20408.19201,2460995.342,0.31,-4.658236111,0.31,
1.76E+12,0.312,1763267820,20408.19236,2460995.342,0.312,-4.657888889,0.312,
1.76E+12,0.311,1763267850,20408.19271,2460995.342,0.311,-4.657541667,0.311,
1.76E+12,0.31,1763267880,20408.19306,2460995.343,0.31,-4.657194444,0.31,
1.76E+12,0.311,1763267910,20408.1934,2460995.343,0.311,-4.656847222,0.311,
1.76E+12,0.311,1763267940,20408.19375,2460995.344,0.311,-4.6565,0.311,
1.76E+12,0.312,1763267970,20408.1941,2460995.344,0.312,-4.656152778,0.312,
1.76E+12,0.31,1763268000,20408.19444,2460995.344,0.31,-4.655805556,0.31,
1.76E+12,0.31,1763268030,20408.19479,2460995.345,0.31,-4.655458333,0.31,
1.76E+12,0.311,1763268060,20408.19514,2460995.345,0.311,-4.655111111,0.311,
1.76E+12,0.31,1763268090,20408.19549,2460995.345,0.31,-4.654763889,0.31,
1.76E+12,0.311,1763268120,20408.19583,2460995.346,0.311,-4.654416667,0.311,
1.76E+12,0.311,1763268150,20408.19618,2460995.346,0.311,-4.654069445,0.311,
1.76E+12,0.31,1763268180,20408.19653,2460995.346,0.31,-4.653722222,0.31,
1.76E+12,0.311,1763268210,20408.19688,2460995.347,0.311,-4.653375,0.311,
1.76E+12,0.31,1763268240,20408.19722,2460995.347,0.31,-4.653027778,0.31,
1.76E+12,0.311,1763268270,20408.19757,2460995.347,0.311,-4.652680556,0.311,
1.76E+12,0.31,1763268300,20408.19792,2460995.348,0.31,-4.652333334,0.31,
1.76E+12,0.311,1763268330,20408.19826,2460995.348,0.311,-4.651986111,0.311,
1.76E+12,0.31,1763268360,20408.19861,2460995.348,0.31,-4.651638889,0.31,
1.76E+12,0.311,1763268390,20408.19896,2460995.349,0.311,-4.651291667,0.311,
1.76E+12,0.311,1763268420,20408.19931,2460995.349,0.311,-4.650944444,0.311,
1.76E+12,0.311,1763268450,20408.19965,2460995.349,0.311,-4.650597222,0.311,
1.76E+12,0.311,1763268480,20408.2,2460995.35,0.311,-4.65025,0.311,
1.76E+12,0.311,1763268510,20408.20035,2460995.35,0.311,-4.649902778,0.311,
1.76E+12,0.312,1763268540,20408.20069,2460995.35,0.312,-4.649555556,0.312,
1.76E+12,0.311,1763268570,20408.20104,2460995.351,0.311,-4.649208333,0.311,
